pair_id,english_text,spanish_text
8,"In the society of his nephew and niece, and their children, the old Gentleman's days were comfortably spent.","En compañía de su sobrino y sobrina, y de los hijos de ambos, la vida transcurrió confortablemente para el anciano caballero."
11,"By a former marriage, Mr. Henry Dashwood had one son: by his present lady, three daughters.","De un matrimonio anterior, el señor Henry Dashwood tenía un hijo; y de su esposa actual, tres hijas."
13,"By his own marriage, likewise, which happened soon afterwards, he added to his wealth.","Además, su propio matrimonio, ocurrido poco después, lo hizo más rico aún."
16,"The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure.","Murió el anciano caballero, se leyó su testamento y, como casi todos los testamentos, éste dio por igual desilusiones y alegrías."
20,"He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a-piece.","No era su intención, sin embargo, faltar a la bondad, y como señal de su afecto por las tres niñas le dejó mil libras a cada una."
22,"But the fortune, which had been so tardy in coming, was his only one twelvemonth.","Pero la fortuna, que había tardado tanto en llegar, fue suya durante sólo un año."
23,"He survived his uncle no longer; and ten thousand pounds, including the late legacies, was all that remained for his widow and daughters.","No fue más lo que sobrevivió a su tío, y diez mil libras, incluidos los últimos legados, fue todo lo que quedó para su viuda e hijas."
29,But Mrs. John Dashwood was a strong caricature of himself;--more narrow-minded and selfish.,"Pero la señora de John Dashwood era una áspera caricatura de su esposo, más estrecha de mente y más egoísta que él."
30,"When he gave his promise to his father, he meditated within himself to increase the fortunes of his sisters by the present of a thousand pounds a-piece.","Al hacer la promesa a su padre, había sopesado en su interior la posibilidad de aumentar la fortuna de sus hermanas obsequiándoles mil libras a cada una."
35,"No sooner was his father's funeral over, than Mrs. John Dashwood, without sending any notice of her intention to her mother-in-law, arrived with her child and their attendants.","No bien había terminado el funeral de su padre cuando la esposa de John Dashwood, sin haber dado aviso alguno de sus intenciones a su suegra, llegó con su hijo y sus criados."
42,"She was sensible and clever; but eager in everything: her sorrows, her joys, could have no moderation.","Tenía inteligencia y buen juicio, pero era vehemente en todo; ni sus penas ni sus alegrías conocían la moderación."
45,"Elinor saw, with concern, the excess of her sister's sensibility; but by Mrs. Dashwood it was valued and cherished.","Preocupaba a Elinor la excesiva sensibilidad de su hermana, la misma que la señora Dashwood valoraba y apreciaba."
46,They encouraged each other now in the violence of their affliction.,"En las actuales circunstancias, una a otra se incitaban a vivir su aflicción sin permitir que amainara su violencia."
47,"The agony of grief which overpowered them at first, was voluntarily renewed, was sought for, was created again and again.","Voluntariamente renovaban, buscaban, recreaban una y otra vez la agonía de pesadumbre que las había abrumado en un comienzo."
48,"They gave themselves up wholly to their sorrow, seeking increase of wretchedness in every reflection that could afford it, and resolved against ever admitting consolation in future.","Se entregaban por completo a su pena, buscando aumentar su desdicha en cada imagen capaz de reflejarla, y decidieron jamás admitir consuelo en el futuro."
